course_url,course_title,course_desciption
https://lingkaran.co/programs/detail/643/ux-research-meningkatkan-kualitas-produk-dan-jasa-melalui-data,UX Research : Meningkatkan Kualitas Produk & Jasa melalui Data,"Saat ini perubahan teknologi yang begitu cepat memberikan pengaruh kepada bidang ekonomi, terlebih lagi pada perusahaan dan organisasi. Munculnya berbagai macam profesi baru mempermudah jalannya bisnis, dan salah satunya profesi sebagai UX Research.
Profesi ini sangat diperlukan bagi perusahaan yang bergantung pada teknologi berbasis web dan mobile phone. UX Research berperan melakukan riset atau penelitian menyeluruh kepada pengguna atau user dan kebutuhannya akan program yang dikeluarkan oleh perusahaan. Riset ini bertujuan untuk mengidentifikasi, menemukan kebutuhan, serta kesulitan para pengguna. Tentunya tujuan dari UX Research adalah mendapatkan data dan meningkatkan kualitas produk atau jasa yang ditawarkan oleh perusahaan.
Melalui kelas ini, lingkaran akan membantu kalian untuk belajar bagaimana seorang UX Research bekerja, bagaimana mengumpulkan data dari yang dibutuhkan oleh pengguna hingga produk yang ditawarkan."
https://lingkaran.co/programs/detail/620/understanding-your-consumer-behavior-agustus,Memahami Perilaku Konsumen untuk Mengembangkan Bisnis - Agustus,"Cara terbaik untuk menjual suatu produk atau jasa adalah dengan menjual sesuatu yang benar-benar dibutuhkan oleh konsumen. Dengan mempelajari perilaku dari target pasar, kita dapat menyusun strategi marketing yang efektif serta mengidentifikasi peluang-peluang yang dapat mendukung bisnis kita. Pada lingkungan bisnis yang berubah dengan sangat cepat ini, penting bagi kita sebagai pelaku bisnis untuk selalu menyesuaikan strategi dengan perubahan-perubahan yang terjadi, karena perilaku konsumen akan selalu berubah sering dengan berjalannya waktu.
Pada sesi mini-class ini, kita akan belajar tentang prinsip-prinsip perilaku konsumen dan bagaimana menerapkannya pada strategi bisnis dan marketing untuk sebuah produk atau jasa."
https://lingkaran.co/programs/detail/635/membangun-campaign-360-untuk-kebutuhan-bisnis,Membangun Campaign 360 untuk Kebutuhan Bisnis,"Campaign 360 adalah bentuk pemasaran holistik yang tersebar di berbagai platform dengan menggabungkan elemen branding namun dengan satu ide tunggal. Dalam kata lain, tujuan campaign 360 adalah memberikan gambaran bahwa sebuah brand tersebar di beberapa platform. Dengan begitu, kalian harus bisa menentukan pesan apa yang akan disampaikan di setiap platform dan menarik hati calon konsumen.
Melalui kelas ini, kita akan mempelajari bagaimana cara membuat integrated marketing communication strategy serta membuat campaign holistik antar satu communication channel dengan channel lainnya tanpa overlapping di masing-masing channel."
https://lingkaran.co/programs/detail/648/conflict-management-mengelola-situasi-sulit-dalam-pekerjaan,Conflict Management : Mengelola Situasi Sulit dalam Pekerjaan,"Dalam berkehidupan sosial tentu memiliki sebuah hubungan dan interaksi antara satu sama lain, sehingga dapat menyelesaikan suatu persoalan yang dimiliki. Namun, tidak selamanya hubungan dapat berjalan lancar tetap saja ada pihak yang tidak memiliki visi yang sama serta keputusan yang disetujui.
Munculnya persinggungan dan perbedaan menjadi timbulnya konflik diantara beberapa pihak. Hal ini bisa saja terjadi dimanapun, termasuk dalam perusahaan tempat bekerja sehari-hari. Dalam hal ini tentu pihak yang berkonflik harus dapat mempelajari bagaimana mengendalikan dan menyelesaikan setiap persoalan yang terjadi. Konflik ini pun tidak sepenuhnya dianggap negatif, konflik justru dapat membangun daya saing yang sehat bila konflik dikelola dengan baik.
Dalam kelas ini kita akan mempelajari bagaimana mengelola konflik dengan baik agar dapat memberikan dampak baik bagi perusahaan."
https://lingkaran.co/programs/detail/659/project-management-online-agustus,Project Management : Mengelola Tim untuk Mengatur Proyek yang Sukses,"Dalam menjalankan sebuah proyek, terkadang ada banyak hal penting bersifat teknis yang gagal untuk kita perhitungkan sejak awal. Seperti kompleksitas proyek, objektif yang kurang terdefinisi dengan baik, serta alur komunikasi antar tim yang sering mengalami hambatan. Dalam hal ini, peran project manager tentunya sangat penting, bukan hanya untuk memastikan ketiga hal tersebut diatas, namun juga sebagai orang yang bertugas untuk memastikan ruang yang kondusif bagi berjalannya proses kreatif.Agar setiap proyek yang kamu kerjakan bisa berjalan dengan lancar, kamu harus memahami keterampilan dan pengetahuan mendasar tentang cara mengelola tim kreatif, secara teknis maupun non-teknis. Dalam kelas ini, kamu akan belajar bagaimana cara membuat sebuah perencanaan proyek yang solid dan mengelola sebuah tim yang dinamis."
https://lingkaran.co/programs/detail/660/mengelola-keuangan-pribadi-setelah-masa-pandemi,Mengelola Keuangan Pribadi Setelah Masa Pandemi,"Era baru setelah masa PSBB (Pembatasan Sosial Berskala Besar) akibat Covid-19 saat ini mulai berlaku dibeberapa daerah. Perekonomian mulai jalan kembali mengikuti peraturan yang ditetapkan oleh pemerintah. Banyak perencanaan yang kembali dimulai salah satunya adalah masalah keuangan. Di masa PSBB faktor keuangan yang menjadi perhatian, karena dampak dari pengurangan jumlah karyawan serta turunnya biaya pendapatan bulanan. Hal ini tentu mempengaruhi keuangan para pekerja maupun pebisnis di masa era baru (new norm) setelah PSBB. Banyak perubahan yang terjadi dalam mengelola keuangan dan juga faktor simpanan yang menjadi penolong saat masa krisis datang. Melalui kelas ini, kita belajar mengelola keuangan di masa baru (new norm) sesuai dengan kebutuhan hidup."
https://lingkaran.co/programs/detail/624/legal-management-for-your-business-online-agustus,Memahami Manajemen Hukum dalam Bisnis - Agustus,"Membangun sebuah perusahaan atau bisnis memang tidaklah mudah, banyak yang harus dipersiapkan dan dipelajari. Salah satunya adalah dalam hal legal, terlebih untuk para pemula hal itu harus dilakukan secara seksama untuk memastikan segalanya berjalan dengan lancar. Seperti yang diketahui, legalitas menjadi salah satu hal yang perlu diperhatikan. Sayangnya mengurus perizinan, legal dan dokumen-dokumen hukum lainnya kerap menjadi permasalahan bagi perorangan atau usaha kecil menengah di Indonesia. Melalui kelas ini, kita akan belajar mengenai berkas legal dan legal entitiy apa yang dibutuhkan untuk bisnis dan bagaimana proses dalam mempersiapkannya."
https://lingkaran.co/programs/detail/642/data-insight-menyesuaikan-konten-marketing-dengan-data-driven,Data Insight : Membuat Personalisasi Konten Marketing dengan Data,"Saat ini bidang marketing menjadi kebutuhan wajib dan menjadi faktor penentu keberhasilan dari sebuah perusahaan. Dalam menyusun strategi marketing, terdapat konsep yang disebut personalisasi pemasaran atau personalized marketing. 
Personalized marketing ini dapat dibentuk dari data, sehingga dapat menyeleksi bagian yang perlu dan tidak perlu dalam strategi marketing. Proses personalized marketing yang efektif tentu memiliki tantangannya sendiri, bagaimana mengolah dari sumber data hingga dapat memetakan untuk menjadi sebuah konten personalisasi pemasaran.
Di kelas ini kita akan belajar tentang data yang dapat dipersonalisasi hingga menjadi sebuah konten untuk pemasaran."
https://lingkaran.co/programs/detail/662/brand-management-online-september,Memahami Dasar Brand Management,"Membangun citra brand yang melibatkan orang dengan cara berinteraksi atau membangun followers dalam media sosial adalah hal yang paling efektif  Untuk mengelola brand apa pun. Dalam hal ini, dibutuhkanlah seorang untuk menentukan langkah apa yang harus dilakukan untuk membangun atau mempertahankan citra brand yang ingin dicapai.Pada marketing, brand management  ini dibutuhkan untuk mencapai target market karena bukan hanya untuk meningkatkan value produk kalian, branding juga meningkatkan interaksi positif dari khalayak terhadap brand kalian Melalui kelas ini, learners akan mempelajari dasar-dasar dari brand management, melakukan teknik creative thinking  dan juga membuat identitas brand yang ingin dilakukan"
https://lingkaran.co/programs/detail/674/performance-marketing-online-september,Menganalisa Performance Marketing untuk Bisnis,"Performance Marketing telah mengubah cara  perusahaan untuk menjual produk. Dengan menggunakan marketing yang berbasis pada data dan performa, sebuah perusahaan bisa mengukur kesuksesan dari sebuah kampanye marketing dengan lebih baik. Bagi learners yang ingin bisa mengembangkan kemampuan analitisnya dalam marketing, di kelas ini kita akan belajar dari praktisi profesional di bidangnya tentang analisis performance marketing dalam sebuah bisnis."
https://lingkaran.co/programs/detail/664/google-spreadsheet-business-intelligence-tools-online-september,Memanfaatkan Google Spreadsheet untuk Business Intelligence Tools,"Business Intelligence merupakan perangkat yang penting untuk bisnis modern. Kemajuan dalam teknologi komputer sekarang dapat memberikan cara untuk bisnis-bisnis menganalisis data perusahaan mereka yang sebelumnya tidak bisa dilakukan. Dengan akses yang tepat untuk mendapatkan data, Google Spreadsheet dapat menjadi sistem Business Intelligence (BI) yang sangat berguna untuk sebuah perusahaan. Jika kamu dapat memahami cara memaksimalkan penggunaan BI, membuat keputusan dalam menentukan harga, marketing, produk baru, dan alokasi sumber daya dapat menjadi lebih efektif untuk kelancaran bisnis. 
Di program ini kamu akan mempelajari fundamental best practice dari Business Intelligence (BI) dengan menggunakan Google Spreadsheet dimulai dari bagaimana menghubungkan data dari berbagai sumber, filter, shape, append mereka, blend, merubah data mentah, dan mengetahui lebih dalam apa itu data analysis dan modeling. 
Jika kamu tidak mempunyai background dalam data analysis dan business kamu tidak perlu khawatir karena mentor akan membantu kamu memahami dari hal yang paling mendasar. "
https://lingkaran.co/programs/detail/617/social-media-content-plan-september,Membuat Social Media Content Plan untuk Bisnismu - September,"Untuk membangun konten yang baik diperlukan rencana strategis di setiap platform social media yang berbeda-beda. Saat ini, setiap pemilik bisnis yang mengandalkan social media dalam mencapai target konsumennya harus memahami dan memiliki kemampuan untuk melibatkan dan menarik audiensnya dengan berbagai jenis konten. Kita harus memahami bagaimana cara kerja social media marketing dan bagaimana perkembangannya, memahami berbagai jenis KPI, dan bagaimana menggunakannya untuk kegiatan media sosial.Melalui kelas ini kita akan belajar untuk memahami cara membangun konten social media yang sesuai dengan target market yang juga bisa menaikkan engagement. "
https://lingkaran.co/programs/detail/627/marketing-campaign-in-social-media-september,Membangun Marketing Campaign di Social Media,"Jika terdapat dua perusahaan yang mulai di waktu yang sama, melayani target pasar yang sama, memberikan produk atau jasa yang sama namun memiliki kecepatan tumbuh yang berbeda, strategi marketing adalah hal yang membedakan kecepatan pertumbuhan dua perusahaan tersebut. Semakin efektif strategi marketing yang dimiliki, semakin cepat pertumbuhan suatu perusahaan tersebut. Sebuah marketing campaign tidak datang secara tiba-tiba. Campaign-campaign yang efektif telah melalui proses riset yang detail, dipikirkan secara matang serta berfokus kepada detail dan eksekusi ketimbang sekedar bertumpu pada sebuah ide besar. Melalui Kelas ini,  kita akan membuat sebuah marketing campaign di social media yang efektif agar informasi yang ingin disampaikan kepada target market tersampaikan."
https://lingkaran.co/programs/detail/663/creative-process-and-creative-brief-online-september,Mengembangkan Proses Kreatif &Creative Brief untuk Kebutuhan Marketing,"Brief kreatif adalah dokumen yang digunakan untuk menjelaskan seluk beluk proyek untuk tim kreatif, agensi, atau desainer yang akan mengerjakannya. Blueprint ini tidak hanya membantu tim kreatif tetapi juga akan membantu kita ketika  membentuk strategi dari keseluruhan proyek tersebut. Mengembangkan brief kreatif mungkin tampak seperti mudah, tetapi brief kreatif yang baik sebenarnya merupakan investasi yang luar biasa dalam hal waktu, efisiensi, dan motivasi. Jika semua orang di proyek mengetahui apa yang mereka lakukan dan, yang paling penting, tahu mengapa mereka melakukannya, proses kreatif akan menghasilkan hasil akhir yang lebih baik.Melalui kelas ini, kita akan belajar  memahami bagaimana cara membuat creative brief yang mudah dan sesuai tujuan marketing yang ingin dicapai."
https://lingkaran.co/programs/detail/675/memahami-dasar-ux-writing-september,Memahami Dasar UX Writing,"Dalam beberapa tahun terakhir, pekerjaan baru mulai bermunculan, salah satunya UX Writer. UX atau User Experience sendiri adalah proses meningkatkan kepuasan pengguna applikasi / website dalam meningkatkan kegunaan dan kesenangan yang diberikan dalam interaksi antara pengguna dan produk.
UX Writer bertanggung jawab untuk merancang semua teks yang ditemui pengguna saat memakai produk untuk membantu mereka menyelesaikan tindakan yang diinginkan. Pesan yang muncul ketika kamu mau pesan ojek di apps? Itu telah dirancang oleh UX Writer. Pesan kesalahan yang menyapa kamu ketika kamu memasukkan pin yang salah untuk aplikasi e-commerce ? Itu juga karya UX Writer.
Melalui kelas ini, kita akan mengeskplorasi basic dari UX Writing, perbedaannya dengan copywriting, cara membuat teks untuk komponen-komponen UI dan juga cara membuat UX writing."
https://lingkaran.co/programs/detail/619/copywriting-online-september,Copywriting : Menyampaikan Pesan yang Efektif untuk Audiens -September,"Keahlian menulis yang harus dimiliki copywriter selalu berubah berdasarkan kebiasaan pengguna search engine, tetapi ada satu keterampilan yang tidak akan pernah berubah: seorang copywriter harus membuat sesuatu yang baru. Copywriting digunakan untuk setiap upaya pemasaran. Dengan tulisan, kalian dapat menceritakan kisah sampai menjual produk atau brand . Salah satu tantangan terbesar yang penulis miliki saat ini adalah menciptakan sesuatu yang baru. Tugas utama seorang  copywriter adalah menulis berita utama dengan tujuan untuk “menjual”, dan menulis ulang “caption” yang ada untuk mengoptimalkannya bisnis dengan platform yang berbeda. Melalui kelas ini, kita akan mempelajari basic dan praktik penulisan copywriting yang tepat, yang juga dapat menjual untuk mengembangkan bisnis melalui platform yang berbeda-beda. "
https://lingkaran.co/programs/detail/623/strategic-partnership-to-maximize-your-business-september,Strategi Partnership untuk Memaksimalkan Bisnismu - September,"Memperluas koneksi dan jejaring menjadi hal yang sangat penting dalam membangun bisnis. Apalagi di era industri 4.0 ini banyak bisnis yang berlomba-lomba untuk mengakusisi calon konsumen, dan hal tersebut tidak dapat hanya bergantung pada sumber daya yang di miliki sendiri. Salah satu cara untuk menjalankan bisnis adalah dengan melakukan kerjasama, dan untuk mencari “partner” dapat dilakukan dengan berjejaring, akan ada banyak keuntungan dan kesempatan yang didapat, bahkan untuk hal yang tidak kita perkirakan sebelumnya. Kadang melakukan networking dirasa seperti hal yang tidak membutuhkan strategi, padahal ada banyak cara yang bisa kita lakukan agar kegiatan networking menjadi maksimal dan memberikan benefit yang sesuai dengan pihak-pihak terkait.Di kelas ini, kita akan mempelajari bagaimana strategi dalam melakukan kerjasama menjalin hubungan profesional dengan kolega bisnis, dan bagaimana kolaborasi antar pihak dapat terjalin dengan maksimal."
